backend,operation,pk,n,geometry,samples,wall_p50_ns,wall_p95_ns,cpu_p50_ns,cpu_p95_ns,rss_max_kb,read_objects_p50,read_bytes_p50,writes_p50,write_bytes_p50,object_bytes_p50,settled_bytes_p50
model,missing_point,integer,50000,crit_bit,20,53600,61809,54000,62000,320908,17,2383,0,0,16344388,0
model,missing_point,integer,100000,c2_slotted,20,23690,28230,24000,29000,367028,4,2870,0,0,9415333,0
model,missing_point,integer,100000,crit_bit,20,69770,74051,70000,74000,628392,18,2574,0,0,32858949,0
model,missing_point,text,1000,c2_slotted,20,15799,16370,16000,16000,17256,3,2364,0,0,97616,0
model,missing_point,text,1000,crit_bit,20,28109,35380,28000,35000,19772,13,1890,0,0,340064,0
model,missing_point,text,10000,c2_slotted,20,15300,22690,15000,22000,49976,3,1883,0,0,970785,0
model,missing_point,text,10000,crit_bit,20,42849,58210,43000,58000,75708,17,2475,0,0,3422337,0
model,missing_point,text,50000,c2_slotted,20,27910,32210,28000,33000,194964,4,2508,0,0,4852645,0
model,missing_point,text,50000,crit_bit,20,57809,63649,58000,64000,325220,20,2906,0,0,17202615,0
model,missing_point,text,100000,c2_slotted,20,31310,41440,31000,41000,371520,4,2723,0,0,9702123,0
model,missing_point,text,100000,crit_bit,20,70770,77939,71000,78000,636440,21,3051,0,0,34427666,0
model,missing_point,uuid,1000,c2_slotted,20,11180,21290,11000,21000,16940,3,2372,0,0,112220,0
model,missing_point,uuid,1000,crit_bit,20,9100,10330,9000,10000,19624,9,1709,0,0,376033,0
model,missing_point,uuid,10000,c2_slotted,20,18700,19700,19000,19000,49692,3,4444,0,0,1113180,0
model,missing_point,uuid,10000,crit_bit,20,21950,28830,21000,25000,76668,16,3000,0,0,3760753,0
model,missing_point,uuid,50000,c2_slotted,20,26260,33160,26000,33000,193076,4,6826,0,0,5547342,0
model,missing_point,uuid,50000,crit_bit,20,29460,32890,30000,33000,329648,16,3037,0,0,18786825,0
model,missing_point,uuid,100000,c2_slotted,20,30579,46420,30000,47000,373004,4,6181,0,0,11101162,0
